Frontend smoke tests (preview build) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94868129919
CodeQL | completed | failure | https://github.com/leonarduk/allotmint/runs/94867814461
CDK validation | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391380/job/94867724775
CDK infrastructure tests | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867713924
Lint .github/scripts shell scripts (shellcheck) | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867713830
Bash script tests (bats) | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867713234
Backend lint (ruff, black) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867712906
Validate backend/requirements.txt (dry-run) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867712904
Lambda-compat pytest (backend/requirements.txt) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867712877
Python 3.11 compatibility smoke | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867712839
Frontend lint, type-check and unit tests | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867712798
ai-review / DeepSeek AI code review | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391369/job/94867708339
ai-review / Claude AI code review | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391488/job/94867705826
integration-tests | completed | failure | https://github.com/leonarduk/allotmint/actions/runs/31831391365/job/94867704157
ai-review / GPT AI code review | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391385/job/94867675019
ai-review | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391385/job/94867674869
ai-review | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391488/job/94867674723
ai-review / DeepSeek AI code review | completed | failure | https://github.com/leonarduk/allotmint/actions/runs/31831391369/job/94867674450
Re-check open PRs against new main | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391241/job/94867674163
auto-merge | completed | skipped | https://github.com/leonarduk/allotmint/actions/runs/31831391196/job/94867674103
classify-change / Classify PR change (affected areas) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391365/job/94867674052
Lint GitHub Actions workflows | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867674005
classify-change / Classify PR change (affected areas) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867673967
test | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391397/job/94867673907
format | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391188/job/94867673835
classify-change / Classify PR change (affected areas) | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391380/job/94867673760
check-files | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391236/job/94867673425
require-issue-reference | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391191/job/94867673282
Check for merge conflicts with main | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391241/job/94867673254
CDK synth dry-run | completed | success | https://github.com/leonarduk/allotmint/actions/runs/31831391199/job/94867673212
